ball	 paddle	timestamp
[742.63314821585368, 378.62182865550676, 1341340822.180799]	[765.0, 400.0, 1341340822.180923]
[739.1328912851784, 378.08111635005457, 1341340822.1968701]	[765.0, 400.0, 1341340822.1969781]
[735.54938376759071, 377.52754366958675, 1341340822.2132919]	[765.0, 400.0, 1341340822.213377]
[731.95452389724232, 376.97221730161687, 1341340822.229835]	[765.0, 400.0, 1341340822.2299221]
[728.28553679197205, 376.4054399147974, 1341340822.246752]	[765.0, 391.56248569488525, 1341340822.2469161]
[724.83965711264841, 375.87312769240339, 1341340822.2626159]	[765.0, 383.63804817199707, 1341340822.262794]
[721.20000987798358, 375.31088266689085, 1341340822.2794011]	[765.0, 375.26800632476807, 1341340822.279593]
[717.66973919274892, 374.76553389996047, 1341340822.295588]	[765.0, 367.14949607849121, 1341340822.295754]
[714.08296592984664, 374.21145673404692, 1341340822.312129]	[765.0, 358.901047706604, 1341340822.3123419]
[710.54704498684521, 373.66523512721824, 1341340822.328346]	[765.0, 350.76954364776611, 1341340822.3285151]
[706.94067725205446, 373.10813104862973, 1341340822.344933]	[765.0, 342.47603416442871, 1341340822.345099]
[703.39843216733243, 372.56093250173137, 1341340822.3612249]	[765.0, 334.32998657226562, 1341340822.361392]
[699.83166807413613, 372.00994631013657, 1341340822.3775799]	[765.0, 326.12755298614502, 1341340822.377712]
[696.26791054011869, 371.45942456546015, 1341340822.394026]	[765.0, 317.93203353881836, 1341340822.3941979]
[692.55107767412596, 370.8852560664742, 1341340822.411103]	[765.0, 309.38448905944824, 1341340822.4112799]
[689.08757333754829, 370.3502212242139, 1341340822.427067]	[765.0, 301.41952037811279, 1341340822.427233]
[685.55206709236461, 369.80406367902913, 1341340822.4433069]	[765.0, 293.28896999359131, 1341340822.4434731]
[681.98291848671647, 369.25270913298186, 1341340822.4597771]	[765.0, 285.08105278015137, 1341340822.459954]
[678.24327724074783, 368.67501724358067, 1341340822.4769599]	[765.0, 285.08105278015137, 1341340822.4770851]
[674.6680118422878, 368.12271778828563, 1341340822.493381]	[765.0, 293.3030366897583, 1341340822.4935579]
[671.20492220352787, 367.58774700766924, 1341340822.509336]	[765.0, 301.26705169677734, 1341340822.5095279]
[667.6835675213747, 367.04377556608301, 1341340822.5254929]	[765.0, 309.36505794525146, 1341340822.525667]
[663.99306796680889, 366.4736749814856, 1341340822.5424621]	[765.0, 317.85204410552979, 1341340822.5426259]
[660.56258394396923, 365.94374104762187, 1341340822.558218]	[765.0, 325.74107646942139, 1341340822.5583651]
[657.0221013249726, 365.39681476271016, 1341340822.574472]	[765.0, 333.88307094573975, 1341340822.5746031]
[653.4850918001996, 364.8504249940662, 1341340822.5907471]	[765.0, 342.0170783996582, 1341340822.590878]
[649.84653314730633, 364.28834813036895, 1341340822.607573]	[765.0, 350.38461685180664, 1341340822.6077659]
[646.32673358196973, 363.74461691994736, 1341340822.6237209]	[765.0, 358.47904682159424, 1341340822.6238861]
[642.73472475911831, 363.18973097577941, 1341340822.6401911]	[765.0, 366.73953533172607, 1341340822.640322]
[639.1061706910782, 362.62919959924147, 1341340822.6568799]	[765.0, 366.73953533172607, 1341340822.6569681]
[635.62742620969834, 362.09181049156734, 1341340822.6728821]	[765.0, 366.73953533172607, 1341340822.6729679]
[632.05086488055792, 361.53931084363512, 1341340822.689328]	[765.0, 366.73953533172607, 1341340822.6894131]
[628.37011072470909, 360.97071570766957, 1341340822.7063489]	[765.0, 366.73953533172607, 1341340822.7064741]
[624.86985379403382, 360.43000340221738, 1341340822.7224059]	[765.0, 366.73953533172607, 1341340822.7225139]
[621.3341401999412, 359.8838138262106, 1341340822.7386191]	[765.0, 366.73953533172607, 1341340822.7387159]
[617.76628752497345, 359.33265947280051, 1341340822.7550299]	[765.0, 366.73953533172607, 1341340822.755115]
[614.18013630879773, 358.77867839935277, 1341340822.7715261]	[765.0, 366.73953533172607, 1341340822.7716119]
[610.59160058017005, 358.22432897145256, 1341340822.7880781]	[765.0, 366.73953533172607, 1341340822.7881849]
[607.03504842073585, 357.67492029783921, 1341340822.8044441]	[765.0, 366.73953533172607, 1341340822.8045521]
[603.48435386797723, 357.12641649494606, 1341340822.8207181]	[765.0, 366.73953533172607, 1341340822.8208041]
[599.83340611777885, 356.56242578963679, 1341340822.8374989]	[765.0, 366.73953533172607, 1341340822.837584]
ball	 paddle	timestamp
[599.83340611777885, 356.56242578963679, 1341340822.8536041]	[765.0, 366.73953533172607, 1341340822.8536921]
ball	 paddle	timestamp
